iter	Passed	Remaining
0	66	665131
1	74	372183
2	82	275726
3	96	240243
4	104	207930
5	122	203281
6	129	185237
7	135	169411
8	142	158317
9	148	148377
10	155	140795
11	160	133754
12	165	127066
13	170	121658
14	175	117011
15	181	113018
16	186	109332
17	191	106436
18	197	103892
19	202	101139
20	208	98948
21	213	96718
22	218	94617
23	222	92691
24	228	91226
25	233	89528
26	238	88042
27	244	87117
28	249	85798
29	254	84529
30	257	82698
31	262	81656
32	269	81279
33	274	80407
34	279	79538
35	286	79175
36	291	78503
37	296	77742
38	301	76975
39	306	76288
40	312	75831
41	317	75223
42	323	74842
43	328	74320
44	334	73977
45	343	74406
46	350	74173
47	357	74196
48	366	74484
49	373	74416
50	380	74308
51	388	74325
52	394	74027
53	401	73968
54	408	73811
55	414	73602
56	419	73251
57	425	72918
58	432	72923
59	438	72624
60	443	72329
61	449	72041
62	455	71915
63	466	72347
64	473	72436
65	480	72304
66	486	72103
67	491	71807
68	496	71504
69	502	71245
70	509	71202
71	514	70982
72	520	70801
73	526	70587
74	532	70446
75	537	70182
76	542	69948
77	548	69711
78	553	69516
79	558	69285
80	563	69039
81	568	68800
82	573	68571
83	584	69014
84	591	68992
85	604	69733
86	615	70141
87	623	70232
88	633	70501
89	640	70561
90	652	71020
91	656	70733
92	661	70512
93	667	70301
94	674	70307
95	683	70487
96	689	70429
97	695	70253
98	700	70062
99	706	69948
100	712	69797
101	716	69559
102	721	69350
103	726	69174
104	731	68920
105	736	68757
106	741	68562
107	746	68393
108	750	68128
109	756	68023
110	761	67844
111	766	67690
112	771	67474
113	777	67385
114	781	67212
115	786	67048
116	792	66903
117	796	66730
118	802	66627
119	807	66525
120	813	66444
121	818	66286
122	831	66799
123	837	66668
124	844	66677
125	855	67074
126	865	67284
127	873	67403
128	882	67492
129	890	67602
130	897	67597
131	902	67479
132	907	67360
133	914	67333
134	919	67202
135	924	67080
136	930	66979
137	935	66830
138	940	66706
139	944	66501
140	950	66426
141	954	66268
142	959	66112
143	963	65968
144	968	65819
145	973	65702
146	978	65574
147	983	65441
148	988	65345
149	993	65261
150	999	65207
151	1004	65082
152	1009	64979
153	1015	64924
154	1021	64851
155	1026	64766
156	1032	64702
157	1037	64637
158	1042	64531
159	1048	64454
160	1053	64374
161	1057	64220
162	1062	64119
163	1068	64072
164	1078	64309
165	1084	64272
166	1094	64419
167	1108	64868
168	1114	64840
169	1119	64735
170	1125	64698
171	1132	64686
172	1139	64719
173	1145	64688
174	1150	64580
175	1154	64467
176	1160	64378
177	1165	64289
178	1169	64166
179	1174	64076
180	1178	63957
181	1184	63905
182	1189	63813
183	1194	63718
184	1199	63644
185	1204	63543
186	1209	63463
187	1213	63336
188	1218	63269
189	1224	63226
190	1229	63130
191	1234	63068
192	1238	62937
193	1243	62867
194	1248	62784
195	1254	62732
196	1260	62732
197	1265	62646
198	1269	62504
199	1274	62455
200	1280	62412
201	1285	62365
202	1292	62382
203	1298	62359
204	1304	62334
205	1309	62259
206	1325	62695
207	1330	62648
208	1340	62791
209	1354	63153
210	1366	63405
211	1373	63419
212	1380	63418
213	1388	63486
214	1393	63416
215	1398	63336
216	1403	63272
217	1408	63194
218	1413	63132
219	1419	63100
220	1424	63028
221	1430	63011
222	1435	62935
223	1439	62836
224	1446	62833
225	1451	62788
226	1457	62739
227	1462	62692
228	1468	62666
229	1473	62593
230	1479	62571
231	1521	64080
232	1539	64522
233	1552	64796
234	1557	64733
235	1569	64926
236	1574	64879
237	1582	64915
238	1599	65330
239	1606	65326
240	1613	65339
241	1620	65348
242	1626	65318
243	1633	65297
244	1637	65216
245	1643	65165
246	1648	65084
247	1653	65030
248	1659	64985
249	1664	64930
250	1669	64854
251	1675	64795
252	1681	64764
253	1686	64726
254	1692	64676
255	1698	64650
256	1703	64584
257	1709	64539
258	1715	64509
259	1720	64443
260	1726	64419
261	1731	64369
262	1737	64315
263	1742	64259
264	1747	64204
265	1752	64140
266	1757	64076
267	1762	64005
268	1768	63967
269	1773	63915
270	1778	63857
271	1784	63807
272	1789	63767
273	1796	63756
274	1801	63695
275	1806	63639
276	1811	63598
277	1820	63662
278	1826	63650
279	1833	63665
280	1840	63655
281	1849	63742
282	1857	63785
283	1865	63806
284	1871	63805
285	1878	63792
286	1884	63793
287	1893	63837
288	1898	63796
289	1907	63864
290	1913	63826
291	1917	63760
292	1923	63711
293	1928	63678
294	1934	63626
295	1939	63592
296	1945	63554
297	1950	63491
298	1955	63444
299	1960	63390
300	1965	63320
301	1970	63264
302	1975	63216
303	1980	63155
304	1985	63105
305	1991	63076
306	1996	63040
307	2002	63000
308	2006	62939
309	2012	62891
310	2017	62851
311	2021	62766
312	2027	62737
313	2032	62695
314	2037	62637
315	2042	62586
316	2047	62556
317	2052	62505
318	2063	62615
319	2069	62588
320	2075	62580
321	2086	62726
322	2096	62808
323	2103	62816
324	2110	62817
325	2116	62800
326	2122	62783
327	2128	62761
328	2133	62719
329	2139	62699
330	2144	62656
331	2151	62646
332	2156	62598
333	2161	62565
334	2167	62528
335	2173	62500
336	2180	62508
337	2184	62452
338	2190	62417
339	2194	62355
340	2199	62315
341	2204	62258
342	2209	62212
343	2215	62190
344	2220	62155
345	2226	62125
346	2231	62080
347	2237	62051
348	2242	62014
349	2248	62004
350	2253	61952
351	2258	61908
352	2263	61866
353	2268	61813
354	2274	61798
355	2280	61772
356	2285	61737
357	2290	61695
358	2296	61671
359	2311	61892
360	2317	61879
361	2325	61921
362	2332	61919
363	2345	62088
364	2351	62075
365	2357	62063
366	2364	62054
367	2371	62077
368	2379	62104
369	2384	62062
370	2390	62031
371	2395	61997
372	2400	61948
373	2405	61916
374	2410	61882
375	2415	61830
376	2420	61789
377	2426	61774
378	2432	61752
379	2438	61722
380	2443	61695
381	2447	61632
382	2453	61612
383	2458	61568
384	2463	61518
385	2467	61463
386	2472	61428
387	2479	61413
388	2483	61370
389	2489	61356
390	2495	61324
391	2500	61297
392	2506	61276
393	2511	61231
394	2516	61197
395	2521	61156
396	2527	61131
397	2532	61100
398	2538	61079
399	2542	61021
400	2549	61022
401	2559	61109
402	2566	61110
403	2572	61109
404	2590	61377
405	2596	61357
406	2603	61359
407	2609	61347
408	2616	61349
409	2622	61331
410	2627	61296
411	2632	61261
412	2637	61230
413	2642	61197
414	2648	61171
415	2653	61121
416	2658	61085
417	2663	61048
418	2668	61013
419	2675	61025
420	2680	60985
421	2687	60988
422	2691	60945
423	2697	60920
424	2702	60886
425	2707	60850
426	2712	60816
427	2717	60784
428	2723	60769
429	2728	60732
430	2733	60699
431	2739	60674
432	2744	60634
433	2749	60606
434	2754	60566
435	2759	60536
436	2765	60514
437	2771	60500
438	2777	60486
439	2782	60449
440	2787	60425
441	2791	60374
442	2806	60555
443	2813	60556
444	2821	60573
445	2835	60734
446	2842	60741
447	2847	60723
448	2853	60708
449	2859	60691
450	2867	60705
451	2872	60670
452	2877	60641
453	2882	60610
454	2888	60605
455	2894	60581
456	2898	60531
457	2903	60499
458	2910	60491
459	2915	60462
460	2921	60443
461	2926	60425
462	2932	60399
463	2937	60364
464	2942	60330
465	2947	60298
466	2952	60278
467	2958	60251
468	2963	60226
469	2969	60207
470	2974	60185
471	2979	60149
472	2985	60129
473	2990	60105
474	2996	60080
475	3001	60046
476	3006	60018
477	3011	59984
478	3016	59957
479	3022	59936
480	3026	59889
481	3031	59855
482	3036	59835
483	3046	59892
484	3052	59887
485	3059	59889
486	3066	59898
487	3076	59958
488	3084	59984
489	3091	60000
490	3098	60005
491	3105	60009
492	3112	60026
493	3118	60003
494	3124	59988
495	3129	59965
496	3135	59952
497	3140	59929
498	3145	59897
499	3151	59869
500	3156	59848
501	3162	59828
502	3166	59792
503	3172	59766
504	3177	59751
505	3183	59734
506	3188	59709
507	3194	59684
508	3199	59651
509	3203	59609
510	3208	59574
511	3213	59553
512	3218	59519
513	3223	59496
514	3229	59470
515	3234	59449
516	3239	59421
517	3244	59398
518	3250	59379
519	3256	59359
520	3259	59295
521	3264	59276
522	3270	59257
523	3276	59243
524	3280	59210
525	3286	59198
526	3296	59252
527	3303	59270
528	3311	59296
529	3329	59483
530	3336	59490
531	3342	59487
532	3348	59481
533	3355	59484
534	3361	59474
535	3367	59460
536	3372	59428
537	3378	59415
538	3383	59393
539	3388	59365
540	3393	59338
541	3399	59313
542	3404	59290
543	3410	59276
544	3416	59265
545	3421	59235
546	3426	59211
547	3431	59192
548	3437	59176
549	3442	59156
550	3448	59138
551	3453	59114
552	3458	59086
553	3464	59063
554	3468	59033
555	3475	59029
556	3480	59005
557	3485	58979
558	3491	58972
559	3496	58943
560	3501	58921
561	3507	58910
562	3513	58893
563	3518	58870
564	3524	58848
565	3529	58822
566	3534	58806
567	3542	58830
568	3549	58833
569	3557	58846
570	3564	58862
571	3574	58916
572	3581	58924
573	3588	58922
574	3594	58916
575	3600	58910
576	3607	58913
577	3613	58897
578	3618	58875
579	3623	58847
580	3628	58818
581	3633	58792
582	3637	58762
583	3642	58735
584	3647	58703
585	3652	58674
586	3657	58646
587	3662	58623
588	3666	58590
589	3674	58597
590	3679	58580
591	3685	58561
592	3690	58550
593	3696	58530
594	3702	58523
595	3707	58491
596	3712	58473
597	3717	58451
598	3722	58420
599	3728	58414
600	3734	58398
601	3739	58380
602	3745	58367
603	3750	58338
604	3755	58311
605	3760	58294
606	3765	58273
607	3771	58253
608	3776	58232
609	3791	58364
610	3796	58346
611	3804	58356
612	3812	58385
613	3826	58489
614	3833	58497
615	3838	58478
616	3845	58473
617	3852	58489
618	3859	58486
619	3865	58475
620	3871	58475
621	3877	58467
622	3883	58457
623	3890	58463
624	3895	58434
625	3902	58442
626	3908	58425
627	3913	58402
628	3919	58399
629	3927	58414
630	3938	58483
631	3947	58507
632	3952	58492
633	3958	58475
634	3964	58462
635	3970	58456
636	3977	58465
637	3986	58501
638	3992	58494
639	3998	58485
640	4004	58475
641	4009	58450
642	4015	58430
643	4021	58424
644	4034	58518
645	4040	58509
646	4049	58532
647	4057	58559
648	4075	58724
649	4082	58727
650	4091	58756
651	4100	58790
652	4106	58775
653	4112	58771
654	4120	58789
655	4126	58779
656	4131	58753
657	4137	58741
658	4143	58728
659	4148	58707
660	4153	58686
661	4158	58662
662	4165	58658
663	4170	58642
664	4177	58639
665	4182	58621
666	4188	58605
667	4194	58590
668	4199	58573
669	4205	58556
670	4210	58541
671	4216	58527
672	4221	58499
673	4226	58482
674	4232	58474
