iter	Passed	Remaining
0	64	23670
1	70	13056
2	77	9541
3	85	7847
4	92	6734
5	98	5987
6	106	5517
7	114	5166
8	122	4933
9	130	4688
10	136	4465
11	144	4324
12	154	4229
13	162	4143
14	170	4046
15	177	3928
16	183	3804
17	188	3688
18	195	3613
19	202	3548
20	209	3478
21	216	3423
22	222	3349
23	228	3300
24	235	3244
25	241	3192
26	247	3144
27	254	3107
28	261	3077
29	267	3036
30	275	3008
31	283	2998
32	290	2965
33	298	2949
34	303	2908
35	313	2908
36	327	2945
37	336	2942
38	349	2966
39	358	2961
40	364	2925
41	372	2905
42	381	2898
43	390	2894
44	396	2861
45	401	2827
46	407	2799
47	412	2767
48	417	2736
49	422	2704
50	428	2680
51	434	2656
52	440	2631
53	445	2606
54	450	2579
55	456	2559
56	462	2538
57	468	2520
58	474	2502
59	481	2488
60	499	2528
61	505	2510
62	510	2489
63	515	2465
64	520	2441
65	526	2424
66	532	2409
67	538	2393
68	545	2378
69	550	2357
70	555	2338
71	561	2325
72	567	2308
73	573	2293
74	578	2276
75	583	2256
76	588	2239
77	594	2226
78	601	2215
79	608	2205
80	614	2191
81	619	2174
82	624	2159
83	630	2146
84	635	2131
85	641	2118
86	646	2103
87	652	2092
88	658	2078
89	664	2066
90	671	2057
91	676	2044
92	682	2032
93	687	2019
94	693	2007
95	698	1993
96	705	1985
97	710	1971
98	716	1962
99	723	1952
100	729	1943
101	735	1933
102	741	1922
103	747	1912
104	753	1902
105	758	1889
106	764	1877
107	769	1867
108	775	1857
109	781	1847
110	787	1838
111	794	1829
112	800	1821
113	806	1811
114	813	1803
115	818	1791
116	824	1783
117	830	1773
118	836	1764
119	842	1755
120	847	1744
121	853	1734
122	858	1724
123	863	1713
124	868	1701
125	873	1690
126	878	1680
127	884	1672
128	890	1663
129	895	1653
130	901	1644
131	906	1634
132	911	1624
133	917	1615
134	923	1606
135	928	1598
136	935	1590
137	940	1580
138	944	1570
139	950	1561
140	956	1553
141	962	1544
142	967	1536
143	972	1526
144	978	1518
145	983	1509
146	988	1500
147	994	1491
148	999	1481
149	1004	1473
150	1009	1464
151	1016	1457
152	1022	1450
153	1028	1442
154	1034	1434
155	1039	1425
156	1045	1417
157	1051	1411
158	1057	1403
159	1063	1396
160	1069	1387
161	1074	1379
162	1080	1372
163	1086	1364
164	1092	1356
165	1097	1348
166	1103	1341
167	1108	1332
168	1114	1325
169	1119	1317
170	1125	1309
171	1131	1302
172	1136	1293
173	1141	1285
174	1147	1278
175	1152	1270
176	1157	1262
177	1163	1255
178	1169	1247
179	1174	1239
180	1179	1231
181	1184	1223
182	1190	1216
183	1196	1209
184	1202	1202
185	1207	1194
186	1212	1186
187	1219	1180
188	1224	1172
189	1229	1164
190	1234	1156
191	1239	1149
192	1245	1142
193	1250	1134
194	1256	1127
195	1262	1120
196	1267	1113
197	1273	1105
198	1279	1099
199	1285	1092
200	1292	1087
201	1298	1080
202	1304	1073
203	1310	1066
204	1315	1058
205	1320	1051
206	1325	1043
207	1331	1037
208	1337	1030
209	1343	1023
210	1349	1016
211	1354	1009
212	1360	1002
213	1365	995
214	1370	988
215	1376	981
216	1382	974
217	1388	968
218	1394	961
219	1399	954
220	1404	947
221	1410	940
222	1416	933
223	1421	926
224	1427	920
225	1433	913
226	1439	906
227	1444	899
228	1450	893
229	1455	885
230	1460	878
231	1466	872
232	1473	866
233	1477	858
234	1484	852
235	1490	846
236	1497	840
237	1504	834
238	1510	827
239	1517	822
240	1522	815
241	1529	808
242	1535	802
243	1542	796
244	1549	790
245	1555	783
246	1560	777
247	1567	770
248	1574	765
249	1581	759
250	1589	753
251	1597	747
252	1604	741
253	1610	735
254	1616	729
255	1622	722
256	1628	716
257	1634	709
258	1640	703
259	1646	696
260	1651	689
261	1657	683
262	1663	676
263	1668	670
264	1675	663
265	1682	657
266	1688	651
267	1694	644
268	1700	638
269	1707	632
270	1713	626
271	1719	619
272	1724	612
273	1730	606
274	1735	599
275	1742	593
276	1747	586
277	1752	579
278	1757	573
279	1763	566
280	1769	560
281	1774	553
282	1780	547
283	1787	541
284	1793	534
285	1798	528
286	1804	521
287	1810	515
288	1816	509
289	1822	502
290	1828	496
291	1834	489
292	1840	483
293	1845	476
294	1850	470
295	1855	463
296	1861	457
297	1868	451
298	1873	444
299	1879	438
300	1885	432
301	1891	425
302	1898	419
303	1903	413
304	1909	406
305	1915	400
306	1921	394
307	1926	387
308	1932	381
309	1939	375
310	1944	368
311	1950	362
312	1956	356
313	1961	349
314	1967	343
315	1973	337
316	1979	330
317	1984	324
318	1990	318
319	1995	311
320	2001	305
321	2006	299
322	2011	292
323	2017	286
324	2022	280
325	2028	273
326	2035	267
327	2041	261
328	2047	255
329	2052	248
330	2060	242
331	2066	236
332	2073	230
333	2080	224
334	2086	218
335	2093	211
336	2100	205
337	2107	199
338	2113	193
339	2120	187
340	2127	180
341	2133	174
342	2140	168
343	2146	162
344	2154	156
345	2162	149
346	2168	143
347	2175	137
348	2180	131
349	2188	125
350	2194	118
351	2200	112
352	2208	106
353	2214	100
354	2221	93
355	2227	87
356	2233	81
357	2242	75
358	2248	68
359	2254	62
360	2261	56
361	2267	50
362	2274	43
363	2279	37
364	2285	31
365	2292	25
366	2298	18
367	2305	12
368	2311	6
369	2317	0
