iter	RMSE
0	908.4706679
1	804.4149704
2	716.1246601
3	640.0116591
4	575.1838579
5	521.0046697
6	475.8019884
7	438.4013189
8	407.2509094
9	381.313543
10	360.1908634
11	342.6610108
12	328.712666
13	317.1847089
14	308.0359672
15	299.905702
16	293.5476556
17	288.2167173
18	283.8219469
19	279.505989
20	276.4284331
21	273.9170578
22	271.6602434
23	269.380964
24	268.0111346
25	266.4897673
26	263.9632466
27	262.6278347
28	261.1699728
29	259.9089757
30	258.2868484
31	257.5147312
32	256.5695599
33	255.4957673
34	254.6405836
35	253.7062326
36	252.8060736
37	251.929518
38	251.1781007
39	250.444342
40	249.2290025
41	248.384995
42	247.8263665
43	247.218296
44	246.4786035
45	245.9691581
46	245.4304714
47	244.7169684
48	244.2348398
49	243.2149704
50	242.7093231
51	242.2906597
52	241.7518862
53	241.2361597
54	240.5142296
55	240.0502896
56	239.620367
57	239.3180966
58	238.5729942
59	237.9625275
60	237.5851029
61	236.7815736
62	236.2517529
63	236.0415959
64	235.4321163
65	235.2272526
66	234.7599002
67	234.4667421
68	233.9603024
69	233.4817992
70	233.1272344
71	232.8588196
72	232.3273722
73	231.8658944
74	231.4333973
75	231.0925932
76	230.5605814
77	230.231625
78	229.8467072
79	229.6921482
80	229.4008581
81	228.8571628
82	228.437419
83	228.0004515
84	227.5931134
85	227.322723
86	226.9666721
87	226.4540872
88	226.1060617
89	225.7561036
90	225.3875156
91	225.0065125
92	224.8258482
93	224.3338982
94	224.0231348
95	223.89413
96	223.4914461
97	223.2926955
98	222.9866588
99	222.7076882
100	222.3200179
101	222.0555617
102	221.7036825
103	221.5262049
104	221.1694254
105	221.0083052
106	220.7595449
107	220.3724151
108	219.9680088
109	219.6363862
110	219.3297206
111	219.210613
112	218.9527381
113	218.7344304
114	218.5279251
115	218.3346616
116	217.988094
117	217.696023
118	217.4574979
119	217.3008009
120	217.0429515
121	216.81087
122	216.5889284
123	216.4539234
124	216.2329154
125	216.1396685
126	215.9013172
127	215.6132281
128	215.3577657
129	215.1364048
130	214.8655562
131	214.6437116
132	214.2861913
133	214.0496441
134	213.5575867
135	213.4015974
136	213.0766893
137	212.8650646
138	212.6849218
139	212.4537799
140	211.9712931
141	211.7616668
142	211.4986641
143	211.339139
144	211.2461802
145	211.0636919
146	210.9642462
147	210.6886328
148	210.4224185
149	210.0742562
150	209.7672569
151	209.5818966
152	209.3183958
153	209.1578577
154	208.985681
155	208.8919368
156	208.6553634
157	208.5360151
158	208.1928682
159	208.0597261
160	207.8751612
161	207.590435
162	207.436779
163	207.2404022
164	207.0836539
165	207.0132065
166	206.5073594
167	206.3367152
168	206.1515338
169	206.0522559
170	205.9366661
171	205.5920589
172	205.3136
173	205.1539756
174	204.953163
175	204.8025465
176	204.6604851
177	204.5546324
178	204.4821902
179	204.1178732
180	203.8935023
181	203.8214922
182	203.6554536
183	203.3461046
184	203.2252553
185	203.1040951
186	202.9797731
187	202.8564931
188	202.6536973
189	202.4952885
190	202.0676373
191	201.9499296
192	201.7084877
193	201.5116792
194	201.4520842
195	201.301175
196	201.2082879
197	200.9812301
198	200.858491
199	200.6367272
200	200.2195058
201	200.1040727
202	199.9379579
203	199.838966
204	199.7981894
205	199.707168
206	199.3682128
207	199.266185
208	198.9691138
209	198.8483086
210	198.6873544
211	198.5223779
212	198.389564
213	198.1718886
214	198.0857193
215	197.9406559
216	197.8386745
217	197.6793073
218	197.5738086
219	197.4469656
220	197.3183702
221	197.1126515
222	197.0826855
223	196.8612251
224	196.662708
225	196.5528121
226	196.4598769
227	196.3241559
228	196.2886911
229	196.2299176
230	196.1445058
231	195.9710181
232	195.8410125
233	195.7924577
234	195.6991128
235	195.6075603
236	195.5831557
237	195.5561229
238	195.4604403
239	195.4068079
240	195.2541528
241	195.0790209
242	194.9932484
243	194.9259011
244	194.7698711
245	194.6979582
246	194.5854134
247	194.5573509
248	194.4763739
249	194.2234566
250	193.95491
251	193.8682877
252	193.7086417
253	193.5858624
254	193.4394861
255	193.3453582
256	193.3241585
257	193.2245792
258	193.1847619
259	193.0464699
260	192.9821913
261	192.9340817
262	192.8055648
263	192.7871071
264	192.7100778
265	192.6995381
266	192.6859275
267	192.5599507
268	192.4522966
269	192.3710513
270	192.2934795
271	192.1764586
272	192.0477103
273	191.9441472
274	191.8488521
275	191.7492544
276	191.5553242
277	191.4408523
278	191.1628412
279	191.0585781
280	190.9607924
281	190.8085904
282	190.7197758
283	190.6266271
284	190.550874
285	190.4472679
286	190.1441527
287	190.1340992
288	190.0497374
289	189.7781533
290	189.7122257
291	189.5883954
292	189.4981804
293	189.4269301
294	189.285228
295	189.2028973
296	189.1240508
297	189.0114078
298	188.9011147
299	188.8307528
