iter	Passed	Remaining
0	4	4427
1	5	2710
2	16	5559
3	19	4971
4	31	6365
5	32	5336
6	43	6101
7	44	5499
8	44	4908
9	46	4635
10	48	4350
11	49	4062
12	50	3858
13	51	3637
14	61	4029
15	62	3852
16	69	4025
17	70	3839
18	82	4255
19	93	4564
20	95	4431
21	96	4270
22	106	4522
23	118	4802
24	118	4622
25	130	4880
26	140	5073
27	151	5257
28	162	5449
29	172	5583
30	182	5713
31	194	5872
32	195	5728
33	195	5563
34	208	5736
35	223	5992
36	236	6164
37	241	6119
38	255	6290
39	255	6141
40	259	6067
41	271	6195
42	283	6304
43	285	6200
44	297	6310
45	311	6455
46	323	6559
47	336	6673
48	351	6814
49	366	6959
50	377	7031
51	391	7133
52	406	7262
53	418	7338
54	430	7398
55	435	7335
56	449	7439
57	461	7502
58	475	7576
59	487	7638
60	500	7706
61	514	7777
62	521	7753
63	536	7846
64	537	7735
65	549	7777
66	566	7893
67	581	7964
68	595	8028
69	608	8086
70	619	8108
71	631	8132
72	642	8152
73	653	8183
74	664	8200
75	676	8229
76	687	8240
77	697	8247
78	707	8252
79	719	8271
80	731	8299
81	742	8308
82	754	8334
83	766	8353
84	779	8389
85	789	8395
86	800	8400
87	810	8403
88	821	8405
89	832	8418
90	844	8431
91	855	8438
92	865	8443
93	876	8451
94	889	8474
95	899	8473
96	910	8472
97	922	8491
98	933	8494
99	945	8505
100	955	8508
101	966	8510
102	977	8516
103	989	8522
104	1000	8527
105	1011	8529
106	1023	8538
107	1034	8542
108	1046	8553
109	1060	8581
110	1072	8591
111	1083	8594
112	1095	8595
113	1106	8600
114	1117	8602
115	1128	8603
116	1140	8606
117	1150	8602
118	1162	8604
119	1173	8602
120	1183	8599
121	1194	8597
122	1205	8594
123	1217	8597
124	1229	8608
125	1236	8578
126	1246	8571
127	1258	8572
128	1271	8586
129	1283	8592
130	1295	8597
131	1309	8609
132	1321	8614
133	1324	8558
134	1328	8514
135	1340	8518
136	1352	8521
137	1365	8531
138	1380	8549
139	1392	8554
140	1408	8580
141	1423	8599
142	1437	8614
143	1464	8705
144	1475	8702
145	1487	8699
146	1498	8694
147	1514	8715
148	1529	8736
149	1551	8792
150	1567	8815
151	1581	8823
152	1596	8837
153	1609	8843
154	1625	8861
155	1639	8870
156	1652	8871
157	1665	8876
158	1679	8883
159	1687	8860
160	1703	8875
161	1717	8883
162	1731	8892
163	1749	8917
164	1766	8937
165	1778	8934
166	1790	8929
167	1792	8877
168	1807	8885
169	1818	8879
170	1831	8877
171	1845	8882
172	1856	8875
173	1869	8875
174	1881	8869
175	1894	8870
176	1906	8866
177	1921	8873
178	1937	8887
179	1949	8879
180	1966	8898
181	1986	8929
182	2001	8935
183	2013	8928
184	2024	8917
185	2035	8908
186	2047	8903
187	2061	8904
188	2073	8897
189	2085	8889
190	2096	8879
191	2098	8829
192	2098	8776
193	2109	8763
194	2121	8759
195	2133	8751
196	2143	8737
197	2147	8699
198	2158	8687
199	2170	8683
200	2181	8673
201	2193	8665
202	2208	8670
203	2223	8674
204	2235	8671
205	2249	8669
206	2263	8670
207	2278	8674
208	2291	8671
209	2304	8670
210	2306	8624
211	2317	8612
212	2330	8609
213	2341	8599
214	2353	8593
215	2366	8590
216	2374	8567
217	2386	8561
218	2398	8554
219	2410	8547
220	2422	8539
221	2435	8534
222	2449	8534
223	2457	8512
224	2470	8511
225	2484	8508
226	2498	8507
227	2512	8506
228	2524	8500
229	2539	8500
230	2551	8493
231	2566	8495
232	2580	8495
233	2593	8489
234	2606	8483
235	2620	8484
236	2633	8478
237	2646	8473
238	2658	8464
239	2670	8455
240	2673	8420
241	2681	8398
242	2692	8388
243	2705	8381
244	2708	8346
245	2721	8340
246	2732	8329
247	2745	8325
248	2758	8319
249	2772	8318
250	2785	8313
251	2794	8293
252	2802	8273
253	2816	8271
254	2831	8271
255	2843	8263
256	2855	8255
257	2869	8251
258	2882	8245
259	2885	8212
260	2897	8204
261	2912	8204
262	2930	8210
263	2943	8205
264	2955	8198
265	2968	8191
266	2974	8164
267	2986	8156
268	2997	8144
269	3009	8137
270	3022	8130
271	3025	8097
272	3037	8089
273	3049	8080
274	3062	8073
275	3075	8066
276	3087	8059
277	3101	8053
278	3115	8052
279	3127	8043
280	3140	8034
281	3152	8026
282	3164	8016
283	3176	8007
284	3188	7999
285	3200	7989
286	3212	7980
287	3225	7973
288	3234	7957
289	3248	7953
290	3261	7946
291	3276	7943
292	3282	7919
293	3294	7912
294	3309	7909
295	3322	7901
296	3334	7891
297	3347	7886
298	3360	7878
299	3373	7872
300	3386	7864
301	3401	7862
302	3414	7855
303	3427	7847
304	3441	7842
305	3455	7837
306	3469	7830
307	3482	7825
308	3494	7815
309	3508	7808
310	3522	7803
311	3535	7795
312	3548	7788
313	3551	7759
314	3565	7752
315	3579	7747
316	3593	7743
317	3608	7738
318	3620	7728
319	3633	7721
320	3647	7715
321	3661	7709
322	3678	7709
323	3691	7702
324	3705	7696
325	3719	7690
326	3733	7684
327	3747	7676
