iter	RMSE
0	30.02925559
1	27.09081244
2	24.70165598
3	22.53561359
4	20.54798904
5	18.98653744
6	17.58771378
7	16.38973973
8	15.41449793
9	14.62920018
10	13.94490156
11	13.38708
12	12.82943064
13	12.39359794
14	12.02050798
15	11.77383682
16	11.49671939
17	11.24233156
18	11.00578846
19	10.83112888
20	10.64975298
21	10.47169349
22	10.3142932
23	10.18043955
24	10.03145012
25	9.914747526
26	9.798388274
27	9.744525107
28	9.698536675
29	9.66680627
30	9.575544198
31	9.496048858
32	9.353948313
33	9.338103753
34	9.329211108
35	9.310439848
36	9.256455477
37	9.200269294
38	9.167918565
39	9.143765018
40	9.092935568
41	9.090897328
42	9.040813446
43	9.008778922
44	8.916543935
45	8.813014246
46	8.806722362
47	8.770839269
48	8.76321773
49	8.71159367
50	8.657786145
51	8.608328571
52	8.588207378
53	8.541748769
54	8.466270925
55	8.394672581
56	8.320844273
57	8.300434069
58	8.278456885
59	8.208300286
60	8.171816565
61	8.166674699
62	8.150132905
63	8.149960056
64	8.149826068
65	8.090652633
66	8.089866828
67	8.047579567
68	8.022532654
69	7.956358714
70	7.913832136
71	7.851429225
72	7.828216133
73	7.800062292
74	7.741739796
75	7.65858545
76	7.637050437
77	7.594634206
78	7.59217172
79	7.530733606
80	7.480140475
81	7.449762246
82	7.444778494
83	7.403173846
84	7.373111394
85	7.346724412
86	7.333959542
87	7.29264619
88	7.247378179
89	7.243945619
90	7.23125283
91	7.224171986
92	7.193290928
93	7.178741704
94	7.175653985
95	7.150269101
96	7.122219195
97	7.101618916
98	7.041369496
99	7.021879579
100	7.000141616
101	6.978907896
102	6.951994892
103	6.937918347
104	6.879315454
105	6.844676089
106	6.811999429
107	6.800421316
108	6.777160021
109	6.729885441
110	6.691587008
111	6.648898732
112	6.603933606
113	6.593399323
114	6.545566988
115	6.540227002
116	6.50181024
117	6.490609297
118	6.456743069
119	6.43046612
120	6.417646241
121	6.404026808
122	6.398541752
123	6.38049022
124	6.343170168
125	6.340923119
126	6.325208328
127	6.3211361
128	6.317015596
129	6.290647192
130	6.261233645
131	6.244572826
132	6.244042954
133	6.242845321
134	6.240325241
135	6.239691275
136	6.226164519
137	6.21422746
138	6.203957844
139	6.189019658
140	6.18582799
141	6.183749453
142	6.168258195
143	6.147191241
144	6.125613678
145	6.121866782
146	6.086710858
147	6.084957718
148	6.07982413
149	6.062516672
150	6.03492287
151	6.032272726
152	6.028073994
153	6.021992972
154	6.019243802
155	6.015770319
156	6.010900294
157	5.994269053
158	5.994111599
159	5.977155497
160	5.973164109
161	5.943070216
162	5.92355193
163	5.899808827
164	5.889840122
165	5.848585398
166	5.842750232
167	5.840664652
168	5.83651099
169	5.832406185
170	5.824325871
171	5.807377045
172	5.794748689
173	5.777861889
174	5.774057237
175	5.768083589
176	5.764165047
177	5.760424171
178	5.754034338
179	5.749107524
180	5.734168727
181	5.731684621
182	5.714167316
183	5.709109032
184	5.688775783
185	5.683487894
186	5.68205588
187	5.678428026
188	5.664906139
189	5.646768397
190	5.642487666
191	5.622376556
192	5.593694558
193	5.591143589
194	5.574973141
195	5.563858219
196	5.538361339
197	5.535943463
198	5.528368387
199	5.52008131
200	5.507002473
201	5.495985666
202	5.488244192
203	5.486626139
204	5.483843917
205	5.477081105
206	5.464492756
207	5.453604214
208	5.427055543
209	5.423299971
210	5.420305944
211	5.419748935
212	5.406920326
213	5.403809039
214	5.398516762
215	5.395498892
216	5.366471258
217	5.362307681
218	5.347401121
219	5.336162613
220	5.334556853
221	5.320666241
222	5.310858621
223	5.2974338
224	5.286771909
225	5.284964671
226	5.265902129
227	5.241815171
228	5.239246562
229	5.225529337
230	5.218004515
231	5.216436961
232	5.21410731
233	5.207187719
234	5.179638149
235	5.162927792
236	5.156372299
237	5.154872837
238	5.141706205
239	5.12453896
240	5.123694534
241	5.099276882
242	5.09408131
243	5.090754211
244	5.062600972
245	5.058207211
246	5.05407986
247	5.044146057
248	5.029541116
249	5.019595437
250	5.01410684
251	4.991096813
252	4.956433779
253	4.954485312
254	4.941721065
255	4.933117572
256	4.925879819
257	4.924731743
258	4.915474806
259	4.904649584
260	4.894644057
261	4.876790056
262	4.860152394
263	4.855379867
264	4.847996308
265	4.832509371
266	4.819132891
267	4.804422436
268	4.782738884
269	4.774014004
270	4.771142361
271	4.765947003
272	4.76109887
273	4.740602039
274	4.718131143
275	4.709128725
276	4.685639859
277	4.680028471
278	4.659874771
279	4.643436552
280	4.638686454
281	4.629760405
282	4.622479686
283	4.61700578
284	4.613578768
285	4.610908239
286	4.60920973
287	4.603873183
288	4.595527577
289	4.592147664
290	4.588698176
291	4.588182107
292	4.582805324
293	4.578942628
294	4.577836698
295	4.550530074
296	4.550066878
297	4.544049524
298	4.538070097
299	4.536955927
300	4.532219905
301	4.498347443
302	4.485649088
303	4.480559218
304	4.473020182
305	4.471327602
306	4.456499723
307	4.453408687
308	4.452377671
309	4.449562743
310	4.441021484
311	4.440403765
312	4.43941954
313	4.427345942
314	4.418218679
315	4.413080648
316	4.406661965
317	4.405726397
318	4.395789715
319	4.393962337
320	4.392450777
321	4.391662188
322	4.38868687
323	4.375750229
324	4.365764322
325	4.356423761
326	4.342077984
327	4.334402521
328	4.33044696
329	4.317506974
330	4.316401772
331	4.310425316
332	4.29388981
333	4.287461346
334	4.284855825
335	4.283923482
336	4.275315249
337	4.269546673
