iter	Passed	Remaining
0	56	282997
1	57	143995
2	58	98104
3	60	75059
4	60	60640
5	62	52212
6	63	45388
7	64	40142
8	65	36080
9	65	32815
10	66	30131
11	67	27897
12	68	26219
13	68	24571
14	69	23181
15	70	21899
16	71	20816
17	71	19847
18	72	18987
19	73	18197
20	73	17467
21	74	16795
22	74	16194
23	76	15820
24	77	15328
25	77	14864
26	78	14422
27	78	13974
28	79	13559
29	79	13212
30	80	12877
31	80	12574
32	81	12290
33	82	12034
34	83	11783
35	83	11534
36	84	11306
37	84	11086
38	85	10890
39	86	10680
40	86	10495
41	87	10314
42	88	10150
43	88	10003
44	89	9846
45	90	9794
46	91	9643
47	92	9503
48	92	9376
49	93	9243
50	94	9124
51	94	9009
52	95	8906
53	96	8805
54	96	8704
55	97	8603
56	98	8513
57	98	8419
58	99	8342
59	100	8248
60	100	8169
61	101	8071
62	102	7999
63	102	7929
64	103	7860
65	104	7785
66	104	7687
67	104	7606
68	105	7545
69	106	7479
70	106	7415
71	107	7365
72	108	7290
73	108	7235
74	109	7180
75	109	7110
76	110	7058
77	110	6987
78	111	6938
79	112	6893
80	112	6850
81	113	6807
82	114	6755
83	114	6709
84	115	6661
85	115	6611
86	116	6564
87	116	6518
88	117	6497
89	118	6486
90	119	6460
91	120	6406
92	120	6371
93	121	6332
94	121	6294
95	122	6260
96	123	6226
97	123	6196
98	124	6168
99	125	6165
100	126	6136
101	127	6118
102	127	6085
103	128	6052
104	129	6025
105	129	5999
106	130	5971
107	131	5944
108	131	5917
109	132	5885
110	132	5839
111	132	5794
112	134	5804
113	134	5768
114	135	5740
115	135	5713
116	136	5688
117	136	5663
118	137	5646
119	138	5620
120	138	5602
121	139	5581
122	140	5552
123	140	5534
124	141	5509
125	141	5482
126	142	5455
127	142	5429
128	143	5405
129	143	5379
130	144	5356
131	144	5334
132	145	5312
133	145	5289
134	146	5267
135	146	5245
136	147	5225
137	147	5191
138	147	5174
139	148	5160
140	149	5143
141	149	5131
142	150	5102
143	150	5086
144	151	5078
145	153	5100
146	153	5082
147	154	5066
148	155	5057
149	156	5045
150	156	5030
151	157	5015
152	157	4999
153	158	4990
154	159	4974
155	159	4962
156	160	4948
157	161	4937
158	161	4922
159	162	4915
160	162	4893
161	163	4879
162	164	4881
163	164	4865
164	165	4859
165	166	4846
166	166	4832
167	167	4815
168	167	4800
169	168	4783
170	168	4763
171	168	4741
172	169	4728
173	170	4716
174	170	4702
175	171	4691
176	171	4680
177	172	4669
